game_name,reviews_like_rate,all_reviews_number,release_date,developer,user_defined_tags,supported_os,supported_languages,price,other_features,age_restriction,rating,difficulty,length,estimated_downloads,release_year
X-Plane 12,83,4092,2022-12-17,Laminar Research,"Simulation, Realistic","win, mac, linux","English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Portugal, Russian, Simplified Chinese, Korean, Ukrainian",26.99,"Single-player, LAN Co-op, Tracked Controller Support, VR Supported, Family Sharing",10,3.0,3,12,159000,2022
Just Shapes & Beats,97,20210,2018-05-31,Berzerk Studio,"2D, Platformer, Action","win, mac, linux","English, French, Japanese, Korean, German, Russian, Simplified Chinese, Traditional Chinese, Italian, Spanish - Spain, Spanish - Latin America, Polish, Portuguese - Portugal, Portuguese - Brazil",8.99,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",10,4.22,4,7,1020000,2018
Gas Station Simulator,88,21629,2021-09-15,DRAGO entertainment,"Simulation, Management, Building","win, mac","English, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Turkish, Czech, Portuguese - Brazil, Ukrainian, Italian, Thai, Portuguese - Portugal, Vietnamese, Korean",5.73,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.08,3,32,1830000,2021
Final Soccer VR,77,95,2016-11-18,Ivanovich Games,"Sports, Simulation, Action",win,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Korean, Japanese, Portuguese - Portugal, Portuguese - Brazil",19.99,"Single-player, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Only, Steam Trading Cards, Steam Leaderboards, Family Sharing",0,1.92,2,6,79900,2016
Stranded Deep,75,41819,2022-08-11,Beam Team Games,"Open World, Survival, Crafting","win, mac, linux","English, French, Italian, German, Spanish - Spain, Russian",19.99,"Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Workshop, Stats, Steam Leaderboards, Includes level editor, Remote Play on TV, Remote Play Together, Family Sharing",13,3.28,4,19,2560000,2022
Halo Infinite,69,176626,2021-11-15,343 Industries,"FPS, Action",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Danish, Finnish, Norwegian, Portuguese - Portugal",0.0,"Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Steam Cloud, Includes level editor, Remote Play on TV",13,3.55,3,30,15640000,2021
The Sims™ 3,86,29687,2009-06-02,The Sims Studio,"Simulation, Sandbox, Building",win,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Spanish - Spain, Swedish, Traditional Chinese",19.99,"Single-player, Family Sharing",10,4.01,2,60,2990000,2009
Persona 4 Golden,97,65272,2020-06-13,ATLUS,"JRPG, Story Rich, Anime",win,"English, Japanese, Korean, Traditional Chinese, French, Italian, German, Spanish - Spain, Simplified Chinese",19.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.33,3,80,3340000,2020
DiRT Rally 2.0,89,35503,2019-02-26,Codemasters,"Driving, Simulation",win,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Japanese",19.99,"Single-player, Online PvP, Steam Achievements, VR Supported, Steam Cloud, Family Sharing",0,3.83,5,42,4030000,2019
Deep Rock Galactic: Survivor,86,34999,2024-02-14,Funday Games,"Early Access, Action, Roguelike",win,"English, French, German, Spanish - Spain, Simplified Chinese, Italian, Korean, Portuguese - Brazil, Portuguese - Portugal, Traditional Chinese, Ukrainian, Hungarian, Russian, Japanese, Polish, Bulgarian, Turkish, Indonesian, Romanian, Spanish - Latin America",7.29,"Single-player, Steam Achievements, Steam Cloud, Remote Play on TV, Family Sharing",10,3.5,3,24,1950000,2024
Into the Dead: Our Darkest Days,86,3981,2025-04-10,PikPok,"Early Access, Survival, Horror, 2.5D, Simulation, Stealth","win, mac","English, Simplified Chinese, French, German, Spanish - Spain, Korean, Portuguese - Brazil, Russian, Italian, Traditional Chinese",12.99,"Single-player, Family Sharing",13,4.06,2,16,174200,2025
Barony,92,7279,2015-06-23,Turning Wheel LLC,"Action, Roguelike, RPG","win, mac, linux",English,10.49,"Single-player, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Includes level editor, Remote Play Together, Family Sharing",13,3.26,4,26,1520000,2015
Backpack Battles,90,13642,2024-03-08,PlayWithFurcifer,"Early Access, Automation, Management, Roguelike, Turn-Based",win,"English, German, Japanese, Korean, Simplified Chinese, Traditional Chinese, French, Portuguese - Brazil, Russian, Spanish - Latin America",7.99,"Online PvP, Steam Cloud, Family Sharing",0,4.0,3,16,1180000,2024
Startup Company,81,5697,2020-04-10,Hovgaard Games,"Management, Simulation, Strategy","win, mac, linux","English, French, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Russian, Turkish, Italian, Hungarian, Korean, Japanese, Dutch, Czech, Polish",7.29,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",0,3.08,3,23,538200,2020
F.E.A.R. 2: Project Origin,83,4927,2009-02-12,Monolith,"Horror, FPS, Action",win,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Polish, Russian",14.99,"Single-player, Family Sharing",17,3.53,3,12,4020000,2009
Revenge of the Savage Planet,81,576,2025-05-08,Raccoon Logic Studios Inc.,"Adventure, Platformer",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese",18.04,"Single-player, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Family Sharing",13,3.77,4,30,54100,2025
Survivor World,82,41,2024-07-01,Flugames,"Early Access, Survival, Platformer",win,"English, French, Italian, German, Czech, Polish, Russian, Turkish",3.59,"Online PvP, Online Co-op, Steam Cloud, Family Sharing",13,2.96,3,1,10500,2024
Pillars of Eternity II: Deadfire,87,13789,2018-05-08,Obsidian Entertainment,"CRPG, Story Rich, Fantasy, Open World, Turn-Based","win, mac, linux","English, French, Italian, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Portuguese - Brazil",18.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing",17,3.85,3,68,1410000,2018
Skull and Bones,66,1558,2024-08-22,Ubisoft Singapore,"Action, RPG, Combat",win,"English, French, German, Spanish - Spain, Arabic, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Italian, Polish",31.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Captions available, In-App Purchases, HDR available",17,2.0,3,11,67900,2024
Small Spaces,100,31,2025-05-27,Niklas Tomkowitz,"Early Access, Simulation, Building",win,"English, French, Italian, German, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Spanish - Spain",7.29,"Single-player, Family Sharing",10,4.11,2,6,4000,2025
Be My Horde,88,957,2024-06-18,Polished Games,"Action, Roguelike, Fantasy",win,"English, Polish, French, German, Portuguese - Brazil",2.99,"Single-player, Steam Cloud, Family Sharing",10,3.5,3,20,51600,2024
Snowbreak: Containment Zone,77,7576,2023-12-25,Amazing Seasun Games,"Anime, Shooter, RPG",win,"English, French, German, Japanese, Simplified Chinese, Korean, Indonesian, Traditional Chinese, Spanish - Latin America",0.0,"Single-player, Online Co-op, Cross-Platform Multiplayer, In-App Purchases, Steam Timeline",13,2.83,3,53,999100,2023
Two Point Museum,94,4416,2025-03-04,Two Point Studios,"Simulation, Strategy, Building","win, mac, linux","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Turkish, Polish",24.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",0,4.0,4,40,379900,2025
ARK: Survival Evolved,84,547780,2017-08-27,Studio Wildcard,"Open World, Survival, Crafting","win, mac","English, French, Italian, German, Spanish - Spain, Russian, Portuguese - Brazil, Simplified Chinese, Czech, Danish, Dutch, Hungarian, Polish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Finnish, Japanese, Korean",14.99,"Single-player, MMO, Steam Achievements, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing",13,3.52,4,74,33130000,2017
DCS World Steam Edition,85,37123,2018-03-18,Eagle Dynamics SA,"Simulation, Realistic, War",win,"English, German, Spanish - Spain, Russian, Czech, French, Simplified Chinese",0.0,"Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Tracked Controller Support, VR Supported, Captions available, Includes level editor",10,3.9,3,54,5450000,2018
GROUND BRANCH,89,19320,2018-08-14,BlackFoot Studios,"Tactical, Realistic, FPS",win,English,14.99,"Single-player, Online PvP, Online Co-op, Family Sharing",10,3.0,4,40,1260000,2018
Space Engineers 2,77,1866,2025-01-27,Keen Software House,"Simulation, Sandbox, Action, Strategy",win,English,14.99,"Single-player, Steam Cloud, Family Sharing",13,2.59,3,30,142600,2025
The Mosquito Gang,75,81,2025-05-20,Space Raccoon Game Studio,"Simulation, Action","win, linux","English, French, German, Simplified Chinese, Russian, Spanish - Spain, Portuguese - Brazil, Japanese",5.79,"Online PvP, Online Co-op, Steam Achievements, Stats, Family Sharing",13,2.74,2,4,6100,2025
Clanfolk,90,2894,2022-07-14,MinMax Games Ltd.,"Strategy, Simulation, Building",win,"English, French, German, Simplified Chinese, Traditional Chinese, Italian, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Thai, Hungarian",14.99,"Single-player, Steam Cloud, Family Sharing",10,3.17,4,55,276000,2022
Sunkenland,81,18343,2023-08-26,Vector3 Studio,"Early Access, Open World, Survival, Crafting",win,"English, Simplified Chinese, French, German, Spanish - Spain, Japanese, Korean, Russian, Turkish",10.49,"Single-player, Online Co-op, Family Sharing",13,3.51,3,52,1180000,2023
Battle Talent,75,872,2023-06-01,CyDream,"Combat, Action, Sandbox, Simulation",win,"English, Simplified Chinese, Spanish - Spain",10.49,"Single-player, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Supported, Family Sharing",13,2.89,4,18,54300,2023
MX Bikes,94,26558,2019-10-07,PiBoSo,"Sports, Simulation",win,English,17.99,"Single-player, Online PvP, LAN PvP, Family Sharing",0,4.45,4,40,1030000,2019
Getting Over It with Bennett Foddy,82,69768,2017-12-06,Bennett Foddy,"Platformer, Horror","win, mac, linux","English, Japanese, Russian, Korean, Simplified Chinese",7.99,"Single-player, Commentary available, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0,3.27,5,15,4850000,2017
BIGFOOT,83,16539,2017-01-31,CyberLight Game Studio,"Early Access, Horror, Survival, Action",win,"English, German, Russian, Ukrainian, French, Italian, Spanish - Spain, Arabic, Simplified Chinese, Korean, Polish, Portuguese - Portugal, Turkish, Japanese",5.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Family Sharing",0,3.55,4,11,1110000,2017
Marvel's Guardians of the Galaxy,94,30315,2021-10-26,Eidos-Montréal,"Story Rich, Action, Adventure, Shooter",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",29.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,3.83,3,22,2250000,2021
Disney Dreamlight Valley,91,18529,2023-12-05,Gameloft,"Simulation, Cute, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Japanese, Simplified Chinese",29.0,"Single-player, In-App Purchases, Family Sharing",0,3.98,3,59,854900,2023
ContractVille,82,3429,2025-05-27,MYM Games Studios,"Simulation, Building",win,"English, French, Italian, German, Spanish - Spain, Arabic, Simplified Chinese, Dutch, Traditional Chinese, Japanese, Korean, Portuguese - Portugal, Russian, Turkish, Swedish, Czech, Polish",14.99,"Single-player, Online Co-op, Steam Achievements, Captions available, Steam Cloud, Family Sharing",0,3.09,3,30,370000,2025
Survive the Nights,70,3188,2017-12-21,a2z Interactive,"Sandbox, Adventure, FPS",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Turkish, Ukrainian, Czech, Thai",10.49,"Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Workshop, In-App Purchases, Steam Cloud, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",17,2.66,3,15,562000,2017
F1® 24,74,13344,2024-05-31,Codemasters,"Driving, Sports, Simulation",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Simplified Chinese, Spanish - Latin America, Polish, Portuguese - Brazil",69.99,"Single-player, Online PvP, LAN PvP, Shared/Split Screen PvP, Online Co-op, LAN Co-op, Steam Achievements, VR Supported, Steam Workshop, In-App Purchases, Steam Cloud, HDR available, Family Sharing",0,3.5,4,24,760500,2024
Pathologic 2,92,8513,2019-05-23,Ice-Pick Lodge,"Story Rich, Adventure, RPG, Survival, Horror",win,"English, Russian",17.99,"Single-player, Steam Achievements, Steam Trading Cards, Remote Play on TV, Family Sharing",17,4.21,5,38,1670000,2019
Roboquest,95,16787,2023-11-07,RyseUp Studios,"FPS, Action, Roguelike",win,"English, French, Simplified Chinese, Korean, Spanish - Spain, Hungarian, Japanese, Italian, German, Bulgarian, Portuguese - Brazil, Russian, Traditional Chinese, Dutch, Persian, Ukrainian",10.99,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",10,3.81,4,11,1600000,2023
Beholder: Conductor,89,1464,2025-04-23,Alawar,"Simulation, Strategy, Adventure","win, mac","English, French, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Korean, Russian, Japanese, Traditional Chinese, Polish, Turkish",7.79,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.5,3,8,67100,2025
Hyperdimension Neptunia Re;Birth1,94,10014,2015-01-28,"IDEA FACTORY Co., Ltd.","Anime, JRPG, Cute",win,"English, Japanese, Traditional Chinese",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.91,3,55,1850000,2015
Outward Definitive Edition,73,22229,2022-05-17,Nine Dots Studio,"RPG, Open World, Survival, Souls-like",win,"English, French, German, Spanish - Spain, Italian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Turkish",29.99,"Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Stats, Remote Play Together, Family Sharing",17,2.5,4,43,2660000,2022
CHANGE: A Homeless Survival Experience,91,2348,2020-05-01,Delve Interactive,"Adventure, Management, 2D, RPG, Simulation, Roguelike","win, mac, linux","English, German, Russian, Simplified Chinese, Turkish, Spanish - Spain",10.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,3.5,3,2,188600,2020
Soccer Manager 2025,74,1469,2024-10-23,Invincibles Studio Ltd,"Simulation, Sports",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Greek, Indonesian, Japanese, Korean, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Thai, Turkish",0.0,"Single-player, In-App Purchases",0,2.82,3,28,319400,2024
The Wolf Among Us,97,28798,2013-10-11,Telltale,"Adventure, Story Rich, Visual Novel",win,English,7.99,"Single-player, Steam Achievements, Remote Play on TV, Family Sharing",17,4.0,2,12,3690000,2013
Big Ambitions,93,10223,2023-03-10,Hovgaard Games,"Early Access, Management, Simulation, RPG, Sandbox","win, mac","English, French, German, Spanish - Spain, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Turkish, Italian, Traditional Chinese",11.5,"Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",10,3.68,4,32,619100,2023
Easy Red 2,90,7887,2020-11-10,Marco Amadei,"War, Action, FPS, Simulation","win, mac, linux","English, Italian, French, German, Spanish - Spain, Simplified Chinese, Russian, Spanish - Latin America, Arabic, Portuguese - Portugal, Portuguese - Brazil, Polish, Turkish, Japanese, Ukrainian",8.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",17,2.0,3,8,403800,2020
Don't Starve,96,93351,2013-04-23,Klei Entertainment,"Open World, Survival, Crafting, 2D","win, mac, linux","English, Simplified Chinese",3.29,"Single-player, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",13,3.73,4,50,11210000,2013
VOIN,94,630,2024-12-10,Nikita Sozidar,"Early Access, Action, Roguelike, RPG",win,"English, German, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Spain, French, Japanese, Korean, Polish, Ukrainian",9.99,"Single-player, Steam Cloud, Family Sharing",13,4.37,3,12,270000,2024
Cuphead,96,166364,2017-09-29,Studio MDHR Entertainment Inc.,"Platformer, 2D","win, mac","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America",19.99,"Single-player, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",10,4.16,4,21,8520000,2017
ASTRONEER,92,110132,2016-12-16,System Era Softworks,"Open World, Survival, Crafting",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Turkish",14.99,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Family Sharing",0,3.42,3,33,5840000,2016
CrossCode,92,14875,2018-09-21,Radical Fish Games,"Action, Pixel Graphics, RPG, Puzzle",win,"English, German, Simplified Chinese, Japanese, Korean",8.49,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",13,4.19,3,57,1210000,2018
Neighbours from Hell Compilation,97,2123,2004-02-20,JoWooD Vienna,"Puzzle, 2D, Stealth, Adventure",win,"English, French, German, Spanish - Spain, Hungarian, Polish, Russian, Simplified Chinese, Italian",7.99,"Single-player, Steam Cloud, Family Sharing",13,3.45,2,11,1070000,2004
The Walking Dead: Saints & Sinners,87,7209,2020-01-23,Skydance Interactive,"Action, Horror, FPS, Simulation, RPG",win,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil",10.49,"Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Cloud, Family Sharing",17,4.15,4,11,1140000,2020
Tower of Babel: Survivors of Chaos,65,2204,2025-05-20,NANOO,"Early Access, Action, Roguelike, RPG","win, mac","English, Korean, French, German, Spanish - Spain, Japanese, Simplified Chinese, Traditional Chinese, Italian, Russian, Thai, Portuguese - Brazil, Polish",5.79,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,2.56,4,22,108400,2025
Squad,84,155777,2020-09-23,Offworld,"Realistic, FPS, Tactical",win,"English, Simplified Chinese, French, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Ukrainian",24.99,"Online PvP, Steam Trading Cards, Steam Workshop",17,3.38,4,70,8050000,2020
Game of Thrones Winter is Coming,60,2592,2019-11-14,YOUZU (SINGAPORE) PTE. LTD.,"Strategy, RPG, Simulation, Open World, Building",win,"English, French, Italian, German, Turkish, Japanese, Polish, Thai, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Spanish - Latin America, Vietnamese, Korean",0.0,"MMO, Online PvP, Cross-Platform Multiplayer, In-App Purchases",17,2.77,3,80,702400,2019
Frostpunk,92,102534,2018-04-24,11 bit studios,"Building, Survival, Management, Simulation, Strategy","win, mac","English, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Turkish, Italian, Japanese, Korean",14.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",17,3.89,4,24,7310000,2018
House Party,86,13564,2022-07-16,"Eek! Games, LLC","Sexual Content, Simulation, RPG, Sandbox",win,"English, Simplified Chinese, French, Russian, Spanish - Latin America, German, Turkish, Italian, Polish, Czech",24.99,"Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing",17,3.41,2,27,1160000,2022
Cat & Farm Pals,94,139,2025-05-16,Teneke Kafalar Spotlight,"Simulation, Strategy, Puzzle, 2D",win,"English, Turkish, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Ukrainian, Vietnamese",0.89,"Single-player, Family Sharing",0,2.6,1,11,10800,2025
The Texas Chain Saw Massacre,69,17902,2023-08-18,Sumo Digital,"Horror, Survival, Stealth, Action",win,"English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian",10.49,"Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.13,4,30,645900,2023
Life is Strange - Episode 1,96,169098,2015-01-30,DONTNOD Entertainment,"Story Rich, Simulation","win, mac, linux","English, French, Italian, German, Spanish - Spain, Portuguese - Brazil",0.0,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",17,4.2,1,7,15930000,2015
Watch_Dogs™,78,42486,2014-05-26,Ubisoft,"Open World, Action, Shooter, Stealth",win,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Hungarian, Polish, Portuguese - Brazil, Swedish, Finnish, Norwegian, Portuguese - Portugal",15.99,"Single-player, Steam Achievements, Steam Trading Cards",17,3.63,3,36,4320000,2014
Pacify,87,31894,2019-02-22,Shawn Hitchcock,"Horror, Survival","win, mac","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Russian, Polish, Portuguese - Portugal, Portuguese - Brazil, Thai, Turkish, Arabic, Danish, Dutch, Finnish, Norwegian, Swedish, Ukrainian",2.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",13,2.88,3,6,4250000,2019
Zombie Cure Lab,70,328,2025-05-27,Thera Bytes GmbH,"Simulation, Survival, Building",win,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese",12.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,2.51,2,11,70000,2025
F.E.A.R.,93,11890,2005-10-17,"Monolith Productions, Inc.","Horror, FPS, Action",win,English,9.99,"Single-player, Family Sharing",17,4.01,3,15,3980000,2005
Sol Cesto,97,213,2025-05-27,Tambouille,"Early Access, Tactical, Puzzle, Roguelike, Turn-Based",win,"English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Italian, Traditional Chinese, Hungarian, Portuguese - Portugal, Czech, Thai, Turkish, Ukrainian",6.59,"Single-player, Family Sharing",13,4.55,2,5,9100,2025
Sticky Business,96,4858,2023-07-17,Spellgarden Games,"Simulation, Cute, 2D","win, mac","English, French, German, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Spanish - Spain",5.79,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,3.83,1,35,860500,2023
Way of the Hunter,80,6547,2022-08-16,Nine Rocks Games,"Adventure, FPS, Simulation, Sports",win,"English, French, Italian, German, Spanish - Spain, Arabic, Traditional Chinese, Simplified Chinese, Polish, Russian, Czech, Turkish, Japanese, Hindi, Indonesian, Slovak",14.99,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.02,3,60,394500,2022
Assassin's Creed® III Remastered,62,11421,2019-03-29,Ubisoft Entertainment,"Action, Adventure, Open World, RPG",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese",31.99,Single-player,17,3.44,3,46,2650000,2019
Nine Sols,95,25750,2024-05-29,RedCandleGames,"Souls-like, Action, 2D, Platformer","win, mac","English, Simplified Chinese, Traditional Chinese, Japanese, Korean, French, German, Russian, Ukrainian, Portuguese - Brazil, Spanish - Latin America, Italian, Spanish - Spain, Polish",14.99,"Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",13,4.07,4,29,857500,2024
Job Simulator,91,3958,2016-04-05,Owlchemy Labs,Simulation,win,"English, French, German, Japanese, Korean, Spanish - Latin America",10.49,"Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Trading Cards, Captions available, SteamVR Collectibles, Family Sharing",10,3.52,1,5,952900,2016
Sephiria,91,1928,2025-04-03,TEAM HORAY,"Action, Roguelike, Fantasy",win,"English, Korean, Japanese, Simplified Chinese, Spanish - Spain, Russian",7.99,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",10,4.5,3,12,108300,2025
Lords Mobile,66,5612,2019-06-03,IGG SINGAPORE PTE. LTD.,"Strategy, War",win,"English, French, Italian, German, Spanish - Spain, Ukrainian, Russian, Turkish, Japanese, Polish, Thai, Simplified Chinese, Traditional Chinese, Portuguese - Portugal, Vietnamese, Arabic, Korean, Spanish - Latin America",0.0,"MMO, Online PvP, Cross-Platform Multiplayer, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",0,2.75,1,45,240,2019
ENDER MAGNOLIA: Bloom in the Mist,95,12461,2025-01-22,Adglobe,"2D, Fantasy, Action, RPG, Souls-like",win,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Japanese, Korean",12.49,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.96,3,20,401100,2025
Bramble: The Mountain King,94,4953,2023-04-27,Dimfrost Studio,"Horror, Adventure, Survival",win,"English, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Japanese, Portuguese - Portugal, Russian, Simplified Chinese, Turkish, Finnish, Norwegian, Swedish, Korean, Polish, Traditional Chinese, Ukrainian",14.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,3.4,3,6,280400,2023
Fahrenheit: Indigo Prophecy Remastered,81,5020,2015-01-29,Quantic Dream,"Story Rich, RPG","win, mac, linux","English, French, German, Spanish - Spain",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.54,3,12,1940000,2015
I Am Cat,66,262,2024-12-05,NEW FOLDER GAMES LTD,"Simulation, Cute",win,English,10.49,"Single-player, Tracked Controller Support, VR Only, In-App Purchases, Family Sharing",0,2.12,2,11,20300,2024
Trans-Siberian Railway Simulator,91,1327,2024-05-30,Pentacle,"Early Access, Simulation, Action",win,"English, German, Polish, Russian, French, Spanish - Spain, Simplified Chinese, Italian, Japanese, Czech, Portuguese - Portugal, Turkish, Hungarian",10.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,4.09,3,21,69400,2024
